Date,GBP_JPY,UK_10Y,JP_10Y,Spread,Rolling_Corr_60D
2023-03-13,162.27269,3.5638,0.32,3.2438000000000002,
2023-03-14,163.15646,3.5638,0.32,3.2438000000000002,
2023-03-15,160.66278,3.5638,0.32,3.2438000000000002,
2023-03-16,161.75309,3.5638,0.32,3.2438000000000002,
2023-03-17,160.47015,3.5638,0.32,3.2438000000000002,
2023-03-20,161.15276,3.5638,0.32,3.2438000000000002,
2023-03-21,161.77119,3.5638,0.32,3.2438000000000002,
2023-03-22,161.17698,3.5638,0.32,3.2438000000000002,
2023-03-23,160.71887,3.5638,0.32,3.2438000000000002,
2023-03-24,159.84732,3.5638,0.32,3.2438000000000002,
2023-03-27,161.55927,3.5638,0.32,3.2438000000000002,
2023-03-28,161.38374,3.5638,0.32,3.2438000000000002,
2023-03-29,163.42771,3.5638,0.32,3.2438000000000002,
2023-03-30,164.30701,3.5638,0.32,3.2438000000000002,
2023-03-31,163.77854,3.5638,0.32,3.2438000000000002,
2023-04-03,164.38784,3.5638,0.32,3.2438000000000002,
2023-04-04,164.66067,3.5638,0.32,3.2438000000000002,
2023-04-05,163.52695,3.5638,0.32,3.2438000000000002,
2023-04-06,163.79397,3.5638,0.32,3.2438000000000002,
2023-04-07,164.05733,3.5638,0.32,3.2438000000000002,
2023-04-10,165.4245,3.5638,0.32,3.2438000000000002,
2023-04-11,166.07138,3.5638,0.32,3.2438000000000002,
2023-04-12,166.17819,3.5638,0.32,3.2438000000000002,
2023-04-13,166.0082,3.5638,0.32,3.2438000000000002,
2023-04-14,166.01767,3.5638,0.32,3.2438000000000002,
2023-04-17,166.38309,3.5638,0.32,3.2438000000000002,
2023-04-18,166.58024,3.5638,0.32,3.2438000000000002,
2023-04-19,167.37231,3.5638,0.32,3.2438000000000002,
2023-04-20,166.95492,3.5638,0.32,3.2438000000000002,
2023-04-21,166.77922,3.5638,0.32,3.2438000000000002,
2023-04-24,167.5178,3.5638,0.32,3.2438000000000002,
2023-04-25,165.94556,3.5638,0.32,3.2438000000000002,
2023-04-26,166.58904,3.5638,0.32,3.2438000000000002,
2023-04-27,167.27146,3.5638,0.32,3.2438000000000002,
2023-04-28,171.13379,3.5638,0.32,3.2438000000000002,
2023-05-01,171.73227,3.9621,0.43,3.5321,
2023-05-02,170.23462,3.9621,0.43,3.5321,
2023-05-03,169.13073,3.9621,0.43,3.5321,
2023-05-04,168.74967,3.9621,0.43,3.5321,
2023-05-05,170.27505,3.9621,0.43,3.5321,
2023-05-08,170.41114,3.9621,0.43,3.5321,
2023-05-09,170.58409,3.9621,0.43,3.5321,
2023-05-10,169.48395,3.9621,0.43,3.5321,
2023-05-11,168.28546,3.9621,0.43,3.5321,
2023-05-12,168.9618,3.9621,0.43,3.5321,
2023-05-15,170.47852,3.9621,0.43,3.5321,
2023-05-16,170.21001,3.9621,0.43,3.5321,
2023-05-17,171.76819,3.9621,0.43,3.5321,
2023-05-18,172.01306,3.9621,0.43,3.5321,
2023-05-19,171.57538,3.9621,0.43,3.5321,
2023-05-22,172.28216,3.9621,0.43,3.5321,
2023-05-23,171.97478,3.9621,0.43,3.5321,
2023-05-24,172.29605,3.9621,0.43,3.5321,
2023-05-25,172.53375,3.9621,0.43,3.5321,
2023-05-26,173.54484,3.9621,0.43,3.5321,
2023-05-29,173.42764,3.9621,0.43,3.5321,
2023-05-30,173.48904,3.9621,0.43,3.5321,
2023-05-31,173.26149,3.9621,0.43,3.5321,
2023-06-01,173.84358,4.3659,0.395,3.9709,
2023-06-02,174.19203,4.3659,0.395,3.9709,0.8081389486396551
2023-06-05,173.47674,4.3659,0.395,3.9709,0.8019273230838868
2023-06-06,173.37391,4.3659,0.395,3.9709,0.7980034787408675
2023-06-07,174.29369,4.3659,0.395,3.9709,0.8044199417333041
2023-06-08,174.42263,4.3659,0.395,3.9709,0.8098573794741842
2023-06-09,175.24449,4.3659,0.395,3.9709,0.821319448615643
2023-06-12,174.6282,4.3659,0.395,3.9709,0.8285821984745254
2023-06-13,176.795,4.3659,0.395,3.9709,0.8398773738232347
2023-06-14,177.30138,4.3659,0.395,3.9709,0.8520185612174095
2023-06-15,179.26387,4.3659,0.395,3.9709,0.8647784628711691
2023-06-16,181.79979,4.3659,0.395,3.9709,0.8755370625524677
2023-06-19,181.56619,4.3659,0.395,3.9709,0.8809265930419655
2023-06-20,180.43833,4.3659,0.395,3.9709,0.8881787200022682
2023-06-21,181.07181,4.3659,0.395,3.9709,0.8901854962112297
2023-06-22,182.32094,4.3659,0.395,3.9709,0.8890510237255509
2023-06-23,182.62142,4.3659,0.395,3.9709,0.8878910242111264
2023-06-26,182.33831,4.3659,0.395,3.9709,0.8870068701133855
2023-06-27,183.60524,4.3659,0.395,3.9709,0.883815946125797
2023-06-28,182.4225,4.3659,0.395,3.9709,0.8832099305871464
2023-06-29,182.49963,4.3659,0.395,3.9709,0.8820925030339027
2023-06-30,183.1076,4.3659,0.395,3.9709,0.8797886500519175
2023-07-03,183.54984,4.3659,0.395,3.9709,0.8766468475354942
2023-07-04,183.59335,4.3659,0.395,3.9709,0.8737261601974601
2023-07-05,183.60088,4.3659,0.395,3.9709,0.8707736836243197
2023-07-06,183.47511,4.3659,0.395,3.9709,0.8676298416073183
2023-07-07,182.37774,4.3659,0.395,3.9709,0.8650683856872596
2023-07-10,181.70514,4.3659,0.395,3.9709,0.8626555024549607
2023-07-11,181.44947,4.3659,0.395,3.9709,0.8599873977318683
2023-07-12,179.74996,4.3659,0.395,3.9709,0.8575583918702712
2023-07-13,181.28403,4.3659,0.395,3.9709,0.8543293906456644
2023-07-14,181.60071,4.3659,0.395,3.9709,0.8501022893213734
2023-07-17,181.3088,4.3659,0.395,3.9709,0.8467364970756911
2023-07-18,180.94855,4.3659,0.395,3.9709,0.8392441881200208
2023-07-19,180.57621,4.3659,0.395,3.9709,0.8315440181217372
2023-07-20,180.16752,4.3659,0.395,3.9709,0.8241125497473275
2023-07-21,182.21273,4.3659,0.395,3.9709,0.833613476995997
2023-07-24,181.37956,4.3659,0.395,3.9709,0.8327484280908605
2023-07-25,181.77249,4.3659,0.395,3.9709,0.8295945767592188
2023-07-26,181.45309,4.3659,0.395,3.9709,0.8252111211970046
2023-07-27,178.37998,4.3659,0.395,3.9709,0.8173982386560997
2023-07-28,181.28304,4.3659,0.395,3.9709,0.812183531504642
2023-07-31,182.58072,4.3659,0.395,3.9709,0.8058994682679731
2023-08-01,182.54721,4.5298,0.64,3.8897999999999997,0.7943256867056726
2023-08-02,182.13481,4.5298,0.64,3.8897999999999997,0.7808970124690092
2023-08-03,181.1044,4.5298,0.64,3.8897999999999997,0.7663586417269583
2023-08-04,180.60656,4.5298,0.64,3.8897999999999997,0.7503284128415627
2023-08-07,182.09583,4.5298,0.64,3.8897999999999997,0.7315250936123436
2023-08-08,182.66246,4.5298,0.64,3.8897999999999997,0.7076481786593651
2023-08-09,182.70895,4.5298,0.64,3.8897999999999997,0.6846432939188368
2023-08-10,183.38479,4.5298,0.64,3.8897999999999997,0.6570988425142603
2023-08-11,183.97414,4.5298,0.64,3.8897999999999997,0.6206384597766296
